"filename", "language", "HTML", "PHP", "JavaScript", "PostCSS", "XML", "JSON", "JSON with Comments", "Markdown", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Izin.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 102
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Kapi.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 41
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Kullanici.php", "PHP", 0, 784, 0, 0, 0, 0, 0, 0, 0, 0, 14, 276, 1074
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Kullanici_grup.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 85
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Kullanici_sablon_tanim.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31, 88
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Kullanici_yetkileri.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 82
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Kurulum.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28, 102
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Login.php", "PHP", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 11, 86, 262
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Logout.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 21
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Logs.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Merkez.php", "PHP", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90, 271
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Metinler.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 50
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Musteri.php", "PHP", 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 3, 101, 364
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Netgsm.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 63
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Onemli_gun.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 73
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Paylasim.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28, 69
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Rut.php", "PHP", 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61, 251
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Sablon.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32, 125
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Sehir.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 84
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Servis copy.php", "PHP", 0, 739, 0, 0, 0, 0, 0, 0, 0, 0, 18, 292, 1049
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Servis.php", "PHP", 0, 923, 0, 0, 0, 0, 0, 0, 0, 0, 21, 429, 1373
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Siparis.php", "PHP", 0, 1201, 0, 0, 0, 0, 0, 0, 0, 0, 28, 639, 1868
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Stok.php", "PHP", 0, 511, 0, 0, 0, 0, 0, 0, 0, 0, 12, 246, 769
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Stok_tanim.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 123
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Takasli_siparis.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Talep.php", "PHP", 0, 784, 0, 0, 0, 0, 0, 0, 0, 0, 134, 483, 1401
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Teklif_form.php", "PHP", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 135
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Teslimat.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Trendyol.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46, 119
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Ugajans copy.php", "PHP", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46, 175
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Ugajans.php", "PHP", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80, 237
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Ugajans_anasayfa.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 77
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Ugajans_logout.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Ugajans_musteri.php", "PHP", 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 56, 122, 528
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Ugajans_talep.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 23, 33, 122
